id	tweet	label
id	RT @tomboysanyu: Susan B Anthony getting ready to be racist	0
id	@god_faced Smells like [p]roud [b]oys.	0
id	RT @sothatsjae: i gotta stop talking to these niggas😂😂😂it just b too much going on.	0
id	@The_DevMachine Cardi B context?	0
id	RT @espilysbb: P.S. The kind person who increases the space for the fans is Khun Vinit Lertratanachai, the organization of the countdown ev…	0
id	RT @BreeNewsome: We’re not even thru worst of coming health &amp; economic woes. Unless there’s massive economic relief, there will be massive…	0
id	RT @1in5advocacy: 🙋🏼‍♀️@RepPressley,  I'm still waiting for my privilege card to fully refund tuition (only) for my IDEA-covered #FAPEdenie…	0
id	RT @bauman_john: Player A: 6.3 yards per rush, 14 total TDs, 49 avoided tackles, team record 5-2  Player B: 7.2 yards per rush, 18 total TD…	0
id	RT @AMcorkery: 6. A pivotal moment in the legacy of America's legally codified white supremacy came when Roger B. Taney, Former Chief Justi…	0
id	The current indoor temperature is 64.04. The humidity is 63.00. The temperature in Forestville is 55.85. The current time is 17:52:26	0
id	RT @baekhyun_charts: Update: Around 1,000 sales left until "Delight" reaches Diamond certification on QQ Music (as of November 18th). https…	0
id	Where are all the clingy men at ? Lord send me one	0
id	eBay Seller A:  Item priced at $49.99 with 98.6% positive feedback and 233 stars.  eBay Seller B:  Item priced at $… https://t.co/gWt809Bml3	0
id	RT @film_girl: Let’s make subfleet a thing. Also plz credit me when you write blogs opining on how it’s the perfect platform for this sort…	0
id	Happy Birthday, B!!!🥳🤍 #RyanBraunForever https://t.co/PvcuZVZs3b	0
id	RT @chikenwiener: i b like idc then have insomnia for a few months	0
id	@blu_as_can_b deserved bess tea 🙏🎟🧠	0
id	RT @Sifill_LDF: Yes. B/c your heart was in it for sure when you voted for a bill w/no direct payments to struggling Americans &amp; no support…	0
id	@KamalaHarris Please explain cedric Richmond..? This is the kinda b.s. that gives pause...	0
id	i wld do anything 2 b able 2 go back 2 da gay club and hav sum1 mansplain tripp pants 2 me again &lt;/3	0
id	tweet	label
id	im going to try to write, even if I feel like everything inside me is crumbling.. writing is supposed to be therapeutic, right?	0
id	@LiddallTraci @bookingcom Do you need somewhere to stay? My MIL manages some air b n bs	0
id	RT @ImLittleNick: if y = mx + b then y = tf can’t we b2gether	0
id	RT @0901BTSmg: wake up! 🐰🐥🐯  #btsfanart #bts #vminkook https://t.co/vjyuz44HB5	0
id	RT @Kofie: Again: An edit button on a social platform that already has a huge misinformation problem is a Pandora's Box	0
id	B*ches b wanting a trophy cause they homebody’s .. good for u bitch , i like having fun b4 my time come 😒	0
id	RT @leanwdafanta: ik niggas be mad when they finally get 2 talk to me and i b weird asf	0
id	@6Scouse @joneeley B&amp;W TV and a transistor radio - but we were happy	0
id	@EricRWeinstein Mind explaining (B)? If the role of a BA is *not* training for advanced work, then (B.1) what is? A… https://t.co/JLU1W3PFh7	0
id	I would like to, formally, nominate our buddy @CodeMonkeyZ  to fill the position. CISA	0
id	RT @one87onapig: men b like “i’ve never seen 2 pretty best friends” then hits on the entire friend group	0
id	RT @dhanush_chow3: Happy Wedding Anniversary @B_RAJA_ Anna.. .live long..stay blessed..  Nice design 👌 @KuttySAsiDfc https://t.co/re39jSty4R	0
id	@MisterB1986 @peta That’s insane... even for them, B!	0
id	RT @jaredisnumb: if y = mx + b then y = tf am i always sad.	0
id	RT @msthuggerr: u smoke?   cause weed b cute together	0
id	“Go head, do what you gotta do. I’m just saying if he ask me to pass the ball too...we gon have an issue” 😂 https://t.co/ZsVHaoJx60	0
id	RT @leanwdafanta: ik niggas be mad when they finally get 2 talk to me and i b weird asf	0
id	RT @one87onapig: men b like “i’ve never seen 2 pretty best friends” then hits on the entire friend group	0
id	I will not be a IMMA get this ass b$&amp;://... I’m a Thank the father and the Son for allowing me to have...	0
id	RT @buitengebieden_: When daddy is your biggest cheerleader.. 😊 https://t.co/gdYa3fGZvc	0
id	RT @sleepyOD_: if y=mx+b then y=tf can’t we be together?	0
id	RT @HowardUNews: .@HowardU has launched a new B.A. - J.D. joint-degree program for freshman, allowing them to graduate with a B.A. and a J.…	0
id	@brain_sand moms really b cramping our sexy styles	0
id	RT @dazaiphobic: B-E-H-A-V-E ARREST US! https://t.co/O3vPdIp5JB	0
id	@RlOTBLADE B A R S	0
id	by all means ima good gf, i just b trippin😂	0
